Proyecto de Ley;Fecha Documento;Fecha de Presentación;N. Trámite;N. Documento;Estado;Comisión asignada;Fecha Calificación CAL;Proponentes
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO DEL TRABAJO PARA FORTALECER EL EMPLEO JUVENIL E INTERCULTURAL Y OPERATIVIZAR EL EMPLEO PREFERENTE EN LA CIRCUNSCRIPCIÓN TERRITORIAL ESPECIAL AMAZÓNICA";"2026-03-31";"2026-03-31";"479322";"479322";"INFORME NO VINCULANTE UTL";"No Asignado";null;"CERDA TAPUY EDMUNDO JORGE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES SOBRE SISTEMAS DE AERONAVES NO TRIPULADAS DE USO CIVIL";"2026-03-27";"2026-03-27";"479168";"479168";"INFORME NO VINCULANTE UTL";"No Asignado";null;"LARA PEREZ LENIN ALEJANDRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE EDUCACIÓN SUPERIOR PARA EL ASEGURAMIENTO DE LA CALIDAD ACADÉMICA EN PROGRAMAS Y TÍTULOS EXTRANJEROS";"2026-03-26";"2026-03-26";"479130";"479130";"INFORME NO VINCULANTE UTL";"No Asignado";null;"SALAZAR HIDALGO MÓNICA DE JESÚS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA LA TIPIFICACIÓN DE CONDUCTAS VINCULADAS A LA EXPLOTACIÓN SEXUAL DE NIÑAS, NIÑOS Y ADOLESCENTES MEDIANTE INTELIGENCIA ARTIFICIAL Y OTRAS TECNOLOGÍAS DE LA INFORMACIÓN";"2026-03-26";"2026-03-26";"479132";"479132";"INFORME NO VINCULANTE UTL";"No Asignado";null;"DUEÑAS PALMA GEMA KAROLINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA CODIFICACIÓN DE LA LEY ORGÁNICA DE EDUCACIÓN LNTERCULTURAL PARA GARANTIZAR EL ASCENSO DOCENTE EN EL MAGISTERIO ECUATORIANO";"2026-03-26";"2026-03-26";"479120";"479120";"INFORME NO VINCULANTE UTL";"No Asignado";null;"LUNA ARÉVALO BLASCO REMIGIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS SOBRE EL PROCEDIMIENTO DE ADOPCIÓN";"2026-03-26";"2026-03-26";"479136";"479136";"INFORME NO VINCULANTE UTL";"No Asignado";null;"GALLARDO RUIZ KEEVIN FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS";"2026-03-26";"2026-03-26";"479135";"479135";"INFORME NO VINCULANTE UTL";"No Asignado";null;"GALLARDO RUIZ KEEVIN FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY NOTARIAL";"2026-03-26";"2026-03-26";"479122";"479122";"INFORME NO VINCULANTE UTL";"No Asignado";null;"JARAMILLO GOMEZ CHRISTOPHER MANUEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA QUE REGULA EL USO DE LAS SIMULACIONES DE IMÁGENES, VOCES, AUDIO Y VIDEO DE PERSONAS GENERADAS POR INTELIGENCIA ARTIFICIAL";"2026-03-25";"2026-03-25";"479074";"479074";"INFORME NO VINCULANTE UTL";"No Asignado";null;"VILLACRESES HERRERA MARIA PAULA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA DE LA LEY DE PROPIEDAD HORIZONTAL PARA EL FORTALECIMIENTO DEL REGISTRO, LA TRANSPARENCIA ADMINISTRATIVA Y LA SEGURIDAD COMUNITARIA (479033)";"2026-03-24";"2026-03-24";"479033";"479033";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"GUSCHMER TAMARIZ MARCELO ANDRES(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY PARA PREVENIR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES, A FIN DE INCORPORAR EXPRESAMENTE COMO MODALIDAD DE VIOLENCIA SEXUAL DIGITAL LA CREACIÓN Y DIFUSIÓN DE CONTENIDO DIGITAL SINTÉTICO QUE SIMULE IDENTIDAD";"2026-03-24";"2026-03-24";"479027";"479027";"INFORME NO VINCULANTE UTL";"No Asignado";null;"ZUÑIGA ROCHA LEDY ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ACTUACIÓN EN CASOS DE PERSONAS DESAPARECIDAS Y EXTRAVIADAS";"2026-03-23";"2026-03-23";"478974";"478974";"INFORME NO VINCULANTE UTL";"No Asignado";null;"HERRERA GÓMEZ ANA CECILIA(ASAMBLEÍSTA)"
"PROYECTO REFORMATORIO A LA LEY ORGÁNICA DE LA FUNCIÓN LEGISLATIVA PARA GARANTIZAR LA FUNCIÓN FISCALIZADORA DE LA ASAMBLEA NACIONAL";"2026-03-19";"2026-03-19";"478865";"478865";"INFORME NO VINCULANTE UTL";"No Asignado";null;"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DE ORDENAMIENTO TERRITORIAL, AUTONOMÍA Y DESCENTRALIZACIÓN COOTAD";"2026-03-19";"2026-03-19";"478866";"478866";"INFORME NO VINCULANTE UTL";"No Asignado";null;"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY ORGÁNICA CONTRA LA TRATA DE PERSONAS Y EL TRÁFICO ILÍCITO DE MIGRANTES PARA EL FORTALECIMIENTO DE LA LUCHA CONTRA LA TRATA DE PERSONAS Y EL TRÁFICO ILÍCITO DE MIGRANTES";"2026-03-12";"2026-03-12";"478601";"478601";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"RAMIREZ CHALAN GRACIELA JANETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA AL CÓDIGO ORGÁNICO DE ORGANIZACIÓN TERRITORIAL, AUTONOMÍA Y DESCENTRALIZACIÓN PARA ESTABLECER UN CRITERIO DIFERENCIADO DE POBLACIÓN EN LA CREACIÓN DE CANTONES UBICADOS EN LA FRANJA FRONTERIZA Y EN LAS PROVINCIAS AMAZÓNICAS";"2026-03-12";"2026-03-12";"478598";"478598";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"ACUÑA VACA MARIA CRISTINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY ORGÁNICA DE EDUCACIÓN SUPERIOR";"2026-03-11";"2026-03-11";"AN-TVAB-2026-0053-M";"AN-TVAB-2026-0053-M";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2026-03-25";"TAPIA VALLEJO ANA BELEN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA PROTECCIÓN INTEGRAL DURANTE LA MENOPAUSIA Y EL CLIMATERIO";"2026-03-10";"2026-03-10";"AN-SHMJ-2026-0102-M";"AN-SHMJ-2026-0102-M";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión del Derecho a la Salud y el Deporte";"2026-03-25";"SALAZAR HIDALGO MÓNICA DE JESÚS(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY DE RÉGIMEN TRIBUTARIO INTERNO PARA INCENTIVAR LA CONSTRUCCIÓN DE VIVIENDAS DE INTERÉS SOCIAL Y REDUCIR EL DÉFICIT HABITACIONAL";"2026-03-09";"2026-03-09";"478450";"478450";"REGISTRO OFICIAL";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2026-03-10";"NOBOA AZIN DANIEL ROY-GILCHRIST(PRESIDENCIA DE LA REPÚBLICA)"
"PROYECTO DE LEY ORGÁNICA PARA LA ERRADICACIÓN DE LA VIOLENCIA OBSTÉTRICA";"2026-03-06";"2026-03-06";"AN-BCDP-2026-0030-M";"AN-BCDP-2026-0030-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2026-03-25";"BLACIO CARRION DIANA PATRICIA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA CONTRA LA TRATA DE PERSONAS Y EL TRÁFICO ILÍCITO DE MIGRANTES";"2026-03-04";"2026-03-04";"478271";"478271";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Relaciones Internacionales y Movilidad Humana";"2026-03-25";"ORDOÑEZ FUENTES MAURICIO XAVIER(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA CONTRA LA TRATA DE PERSONAS Y EL TRÁFICO ILÍCITO DE MIGRANTES";"2026-03-04";"2026-03-04";"478292";"478292";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Relaciones Internacionales y Movilidad Humana";"2026-03-25";"JARAMILLO ZURITA LUCÍA LIZBETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A IA LEY ORGÁNICA PARA LA PLANIFICACIÓN Y DESARROLLO INTEGRAL DE LA CIRCUNSCRIPCIÓN TERRITORIAL ESPECIAL AMAZÓNICA: ""PARA
FORTALECER LA GOBERNANZA, LA TRANSPARENCIA DEL FONDO COMÚN, LA PROTECCIÓN DE DERECHOS Y GARANTIZAR EL CARÁCTER VINCULANTE DE LOS PLANES";"2026-03-04";"2026-03-04";"478273";"273278";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio";"2026-03-25";"CERDA TAPUY EDMUNDO JORGE(ASAMBLEÍSTA)/ NANTIPIA CHUMPI JOSE FERNANDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA DEL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA APLICAR LA VALORACIÓN DEL RIESGO PROCESAL EN LA PRISIÓN PREVENTIVA";"2026-03-03";"2026-03-03";"AN-JSDA-2026-0037-M";"AN-JSDA-2026-0037-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2026-03-25";"JACOME SILVA DIANA ANGELICA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE EDUCACIÓN INTERCULTURAL";"2026-03-03";"2026-03-03";"478234";"478234";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2026-03-25";"ACUÑA VACA MARIA CRISTINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA EL FORTALECIMIENTO DE LA SEGURIDAD CIUDADANA Y CONVIVENCIA SOCIAL PACÍFICA";"2026-03-02";"2026-03-02";"478164";"478164";"PROYECTO PRESENTADO";"No Asignado";null;"INICIATIVA POPULAR(INICIATIVA POPULAR)"
"PROYECTO DE LEY REFORMATORIA A LA LEY DE EJERCICIO PROFESIONAL DE LAS ENFERMERAS Y ENFERMEROS DEL ECUADOR";"2026-03-01";"2026-03-01";"AN-AZPA-2026-0007-M";"AN-AZPA-2026-0007-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2026-03-25";"AGUIRRE ZAMBONINO PAMELA ALEJANDRA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY QUE ESTABLECE RENTAS EN FAVOR DE LAS PROVINCIAS DE AZUAY, CAÑAR, MORONA SANTIAGO Y TUNGURAHUA POR VENTA DE ENERGÍA ELÉCTRICA (DECRETO LEY NO. 047) PARA GARANTIZAR LA TRANSPARENCIA Y EFICIENCIA EN LA GESTIÓN DE LOS RECURSOS";"2026-02-25";"2026-02-25";"AN-BCAS-2026-0038-M";"AN-BCAS-2026-0038-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Régimen Económico y Tributario y su Regulación y Control";"2026-03-25";"BECERRA CONTRERAS ANTHONY SEBASTIAN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA EL AGRAVAMIENTO DE LA PENA DEL DELITO DE ABIGEATO";"2026-02-10";"2026-02-10";"477527";"477527";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2026-03-04";"BENAVIDES FUENTES CRISTIAN ANDRÉS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO CIVIL";"2026-02-10";"2026-02-10";"477526";"477526";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2026-03-04";"BENAVIDES FUENTES CRISTIAN ANDRÉS(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A VARIOS CUERPOS LEGALES PARA PROTEGER EL USO LEGÍTIMO DE UNIFORMES E INSIGNIAS INSTITUCIONALES";"2026-02-10";"2026-02-10";"477533";"477533";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Soberanía, Integración y Seguridad Integral";"2026-03-04";"DUEÑAS PALMA GEMA KAROLINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY QUE ESTABLECE RENTAS EN FAVOR DE LAS PROVINCIAS DE AZUAY, CAÑAR, MORONA SANTIAGO Y TUNGURAHUA POR VENTA DE ENERGÍA ELÉCTRICA (DECRETO LEY NO. 047) PARA GARANTIZAR LA TRANSPARENCIA Y EFICIENCIA EN LA GESTIÓN DE LOS RECURSOS (477503)";"2026-02-10";"2026-02-10";"477503";"477503";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2026-02-19";"BECERRA CONTRERAS ANTHONY SEBASTIAN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA INTERCULTURAL PARA EL DESARROLLO AGROPECUARIO Y EL FORTALECIMIENTO DEL PEQUEÑO Y MEDIANO PRODUCTOR";"2026-02-06";"2026-02-06";"477382";"477382";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero";"2026-02-19";"YUMBAY YALLICO MARIANA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE LA PROTECCIÓN DE LA SOBERANÍA NACIONAL Y REVISIÓN DE LA INVERSIÓN EXTRANJERA DIRECTA";"2026-02-05";"2026-02-05";"477347";"477347";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"TOAPANTA JAMI ALEX FABRICIO(ASAMBLEÍSTA)"
